"Name","scanSplit","Encoder_Validation_R2","noDecoder","allScans"
"scansFINALSWEEP_annNOVAL_80_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS123","80","0.8550772594040186","false","false"
"scansFINALSWEEP_annVAL_80_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS42","80","0.8786313678575226","false","true"
"scansFINALSWEEP_annVAL_70_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS123","70","0.8637192356997981","false","true"
"scansFINALSWEEP_annNOVAL_70_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS42","70","0.9157532156770392","false","false"
"scansFINALSWEEP_ND_70_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS42","70","0.8792425516264631","true","true"
"scansFINALSWEEP_ND_70_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS192043","70","0.8418820400399752","true","true"
"scansFINALSWEEP_ND_70_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS123","70","0.8389628399646409","true","true"
"scansFINALSWEEP_ND_70_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS42","70","0.857055628181018","true","true"
"scansFINALSWEEP_ND_70_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS192043","70","0.9031106904050848","true","true"
"scansFINALSWEEP_annNOVAL_70_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS123","70","0.917408808511398","false","false"
"scansFINALSWEEP_ND_70_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS123","70","0.8408037616234385","true","true"
"scansFINALSWEEP_annVAL_70_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS192043","70","0.8898414594985257","false","true"
"scansFINALSWEEP_annVAL_70_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS42","70","0.8712573057501706","false","true"
"scansFINALSWEEP_annNOVAL_70_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS192043","70","0.9193619887033456","false","false"
"scansFINALSWEEP_annVAL_60_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS42","60","0.912183276434629","false","true"
"scansFINALSWEEP_annNOVAL_60_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS123","60","0.8934495819126916","false","false"
"scansFINALSWEEP_ND_60_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS42","60","0.8890013338508331","true","true"
"scansFINALSWEEP_annNOVAL_60_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS42","60","0.8502000632085144","false","false"
"scansFINALSWEEP_annVAL_60_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS123","60","0.8517570505857114","false","true"
"scansFINALSWEEP_ND_60_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS192043","60","0.8629001198782768","true","true"
"scansFINALSWEEP_ND_60_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS123","60","0.8901315803289332","true","true"
"scansFINALSWEEP_annVAL_60_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS192043","60","0.8846284030658724","false","true"
"scansFINALSWEEP_ND_60_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS123","60","0.874573057909392","true","true"
"scansFINALSWEEP_annNOVAL_60_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS192043","60","0.8735439302156696","false","false"
"scansFINALSWEEP_ND_60_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS192043","60","0.869671298927615","true","true"
"scansFINALSWEEP_ND_60_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS42","60","0.8602686600765068","true","true"
